Date,Aramco,Exxon,Aramco_Growth,Exxon_Growth
2021-10-11,1.0,1.0,1.0,1.0
2021-10-12,1.0067659486772595,0.9948019832823143,1.0067659486772595,0.9948019832823143
2021-10-13,1.0013530661466048,0.9920403319577906,1.0013530661466048,0.9920403319577906
2021-10-14,1.0094723126995573,1.0071474733757764,1.0094723126995573,1.0071474733757764
2021-10-18,1.0121785222357964,1.0162443305409314,1.0121785222357964,1.0162443305409314
2021-10-19,1.01353174286846,1.0315138963184614,1.01353174286846,1.0315138963184614
2021-10-20,1.008118783094776,1.0371995504583404,1.008118783094776,1.0371995504583404
2021-10-21,1.01353174286846,1.018356138689854,1.01353174286846,1.018356138689854
2021-10-25,1.01353174286846,1.0453217885975186,1.01353174286846,1.0453217885975186
2021-10-26,1.0121785222357964,1.0695255685745226,1.0121785222357964,1.0695255685745226
2021-10-27,1.0202976915457196,1.0417477968691375,1.0202976915457196,1.0417477968691375
2021-10-28,1.0216509121783832,1.044671799684493,1.0216509121783832,1.044671799684493
2021-11-01,1.0216509121783832,1.0661142198118223,1.0216509121783832,1.0661142198118223
2021-11-02,1.025710342347286,1.052956462183215,1.025710342347286,1.052956462183215
2021-11-03,1.0175913275234216,1.0384990910721181,1.0175913275234216,1.0384990910721181
2021-11-04,1.0243571217146221,1.0462963347547833,1.0243571217146221,1.0462963347547833
2021-11-08,1.0244064027674014,1.0675764033912807,1.0244064027674014,1.0675764033912807
2021-11-09,1.0189430032954967,1.077972728301501,1.0189430032954967,1.077972728301501
2021-11-10,1.0216745485453902,1.056736016548776,1.0216745485453902,1.056736016548776
2021-11-11,1.0257720595278041,1.0587114873371302,1.0257720595278041,1.0587114873371302
2021-11-15,1.0175768058338879,1.0596993684687317,1.0175768058338879,1.0596993684687317
2021-11-16,1.0148451060979355,1.0703999931211936,1.0148451060979355,1.0703999931211936
2021-11-17,1.0121134836050125,1.0587114873371302,1.0121134836050125,1.0587114873371302
2021-11-18,1.0121134836050125,1.0471875919739777,1.0121134836050125,1.0471875919739777
2021-11-22,0.9684055153994793,1.0126160516219447,0.9684055153994793,1.0126160516219447
2021-11-23,0.9779665030968275,1.0392854902144242,0.9779665030968275,1.0392854902144242
2021-11-24,0.9834300570547913,1.0450475107647126,0.9834300570547913,1.0450475107647126
2021-11-29,0.953380896501138,1.0139331535953677,0.953380896501138,1.0139331535953677
2021-11-30,0.9465515312967128,0.9851237066623354,0.9465515312967128,0.9851237066623354
2021-12-01,0.9561124417510315,0.9843005088203568,0.9561124417510315,0.9843005088203568
2021-12-02,0.95474663050457,1.0088296475974348,0.95474663050457,1.0088296475974348
2021-12-06,0.9561124417510315,1.013768543174457,0.9561124417510315,1.013768543174457
2021-12-07,0.9574785619696108,1.0251278281166987,0.9574785619696108,1.0251278281166987
2021-12-08,0.9574785619696108,1.0280909614305178,0.9574785619696108,1.0280909614305178
2021-12-09,0.9492832310326651,1.0307251653773641,0.9492832310326651,1.0307251653773641
2021-12-13,0.9520150080116471,1.0145917410164356,0.9520150080116471,1.0145917410164356
2021-12-14,0.9561124417510315,1.013109882884677,0.9561124417510315,1.013109882884677
2021-12-15,0.9602101072195043,1.0086651829139484,0.9602101072195043,1.0086651829139484
2021-12-16,0.9629421931706039,1.0103113599917688,0.9629421931706039,1.0103113599917688
2021-12-20,0.9629421931706039,0.9739291050097166,0.9629421931706039,0.9739291050097166
2021-12-21,0.9684055153994793,0.995988941735708,0.9684055153994793,0.995988941735708
2021-12-22,0.9670394724239295,1.00405558104746,0.9670394724239295,1.00405558104746
2021-12-23,0.9752348806039045,1.004549558047617,0.9752348806039045,1.004549558047617
2021-12-27,0.9670394724239295,1.01887204917239,0.9670394724239295,1.01887204917239
2021-12-28,0.9725031036249226,1.0155793306731882,0.9725031036249226,1.0155793306731882
2021-12-29,0.9615759957089952,1.0066897121255942,0.9615759957089952,1.0066897121255942
2021-12-30,0.9779665030968275,1.0007629354169705,0.9779665030968275,1.0007629354169705
2022-01-03,0.9738688376283547,1.0460351004214654,0.9738688376283547,1.0460351004214654
2022-01-04,0.9725031036249226,1.0853810716670342,0.9725031036249226,1.0853810716670342
2022-01-05,0.9766007690933954,1.0988801463436921,0.9766007690933954,1.0988801463436921
2022-01-06,0.9684055153994793,1.1247266785690422,0.9684055153994793,1.1247266785690422
2022-01-10,0.9738688376283547,1.1271961263575532,0.9738688376283547,1.1271961263575532
2022-01-11,0.9834300570547913,1.174608664046162,0.9834300570547913,1.174608664046162
2022-01-12,0.9929912764812278,1.1711512622573372,0.9929912764812278,1.1711512622573372
2022-01-13,1.0025524959076644,1.1627551106289145,1.0025524959076644,1.1627551106289145
2022-01-18,1.0052841956436167,1.2030888172686607,1.0052841956436167,1.2030888172686607
2022-01-19,1.0025524959076644,1.2035827214001054,1.0025524959076644,1.2035827214001054
2022-01-20,1.0066498524040193,1.2062165610033906,1.0066498524040193,1.2062165610033906
2022-01-24,0.9916253107487074,1.1983145321125492,0.9916253107487074,1.1983145321125492
2022-01-25,0.999820641685653,1.233544587016938,0.999820641685653,1.233544587016938
2022-01-26,1.0080158181365397,1.2210328105221837,1.0080158181365397,1.2210328105221837
2022-01-27,1.0080158181365397,1.23667240362038,1.0080158181365397,1.23667240362038
2022-01-31,1.0203085055698404,1.2505008448762838,1.0203085055698404,1.2505008448762838
2022-02-01,1.0175768058338879,1.3306742082869067,1.0175768058338879,1.3306742082869067
2022-02-02,1.0039180754250374,1.3272168793667942,1.0039180754250374,1.3272168793667942
2022-02-03,1.0080158181365397,1.3117420424269333,1.0080158181365397,1.3117420424269333
2022-02-07,1.0121134836050125,1.356355765747785,1.0121134836050125,1.356355765747785
2022-02-08,1.0175768058338879,1.321290612739156,1.0175768058338879,1.321290612739156
2022-02-09,1.0148451060979355,1.3149654627808114,1.0148451060979355,1.3149654627808114
2022-02-10,1.0189430032954967,1.3023150171266977,1.0189430032954967,1.3023150171266977
2022-02-14,1.0189430032954967,1.3146323070285297,1.0189430032954967,1.3146323070285297
2022-02-15,1.0189430032954967,1.2981536307090906,1.0189430032954967,1.2981536307090906
2022-02-16,1.0312357679718267,1.3041459163900024,1.0312357679718267,1.3041459163900024
2022-02-17,1.0312357679718267,1.3021487307254058,1.0312357679718267,1.3021487307254058
2022-02-23,1.1077249054390834,1.277846432249477,1.1077249054390834,1.277846432249477
2022-02-24,1.129578735055791,1.2617009116823192,1.129578735055791,1.2617009116823192
2022-02-28,1.135042134527696,1.305311232835866,1.135042134527696,1.305311232835866
2022-03-01,1.1323103575487141,1.31779480913899,1.1323103575487141,1.31779480913899
2022-03-02,1.1760181712681883,1.3404323490154817,1.1760181712681883,1.3404323490154817
2022-03-03,1.210165229019403,1.3489214082519883,1.210165229019403,1.3489214082519883
2022-03-07,1.2238240366712827,1.4501240990603508,1.2238240366712827,1.4501240990603508
2022-03-08,1.2183605599563485,1.4611094946401784,1.2183605599563485,1.4611094946401784
2022-03-09,1.1828478454447313,1.3780500930132678,1.1828478454447313,1.3780500930132678
2022-03-10,1.1227494470943953,1.420828107735808,1.1227494470943953,1.420828107735808
2022-03-14,1.0735777704448395,1.3629031652784085,1.0735777704448395,1.3629031652784085
2022-03-15,1.0585532287895276,1.2853370443911094,1.0585532287895276,1.2853370443911094
2022-03-16,1.1200175928723841,1.2805099294186366,1.1200175928723841,1.2805099294186366
2022-03-17,1.143237542707671,1.3146323070285297,1.143237542707671,1.3146323070285297
2022-03-21,1.1732867805043536,1.368229430929606,1.1732867805043536,1.368229430929606
2022-03-22,1.1773842914867676,1.3622375824609674,1.1773842914867676,1.3622375824609674
2022-03-23,1.163725715563976,1.3837098058915958,1.163725715563976,1.3837098058915958
2022-03-24,1.163725715563976,1.3878710465717785,1.163725715563976,1.3878710465717785
2022-03-28,1.1487009421795757,1.3783829572907005,1.1487009421795757,1.3783829572907005
2022-03-29,1.1446031222250441,1.371059360237482,1.1446031222250441,1.371059360237482
