Date,Close,High,Low,Open,Volume,MA20,MA100,Daily_Return
2021-09-29,50.92162322998047,51.18524344707045,50.215794242551375,50.88760667164707,23422800,47.36909408569336,49.323473892211915,-0.06673298540947892
2021-09-30,50.02019500732422,51.168226073041296,50.01169249125092,51.12570700468084,31289600,47.583818435668945,49.30696128845215,-1.7702268024431866
2021-10-01,51.81452941894531,51.86555424917661,50.52192958239294,50.52192958239294,24407300,47.83255844116211,49.324823226928714,3.5872199445811104
2021-10-04,52.48634719848633,52.783983962393236,51.83154307389372,52.14618811630922,33946700,48.12381858825684,49.34672260284424,1.2965818411840635
2021-10-05,52.40129470825195,53.319722089224605,51.89105943704275,53.16665085906249,29641600,48.4244327545166,49.37397052764893,-0.16204688414062085
2021-10-06,51.44035720825195,51.976103329210886,50.811063942938844,51.42334893146002,25284900,48.69825973510742,49.37929470062256,-1.8338048808719143
2021-10-07,51.58491897583008,51.9420862747155,51.14271354311315,51.54239990891433,19513600,48.977614402770996,49.374168968200685,0.28102792325659376
2021-10-08,52.87751770019531,53.081610515042506,52.08665074366965,52.08665074366965,22186900,49.32627582550049,49.39671298980713,2.505768643294526
2021-10-11,52.350276947021484,53.62586846210878,52.299252118579076,53.60035442588909,22121500,49.58947277069092,49.42613151550293,-0.9970981545752156
2021-10-12,52.07815933227539,52.70744943022919,51.74650276043772,52.35878782352574,20198600,49.872654342651366,49.45400154113769,-0.5198016717685716
2021-10-13,51.93358612060547,52.205712071035585,51.20224641232557,51.68697096427905,14991700,50.0703706741333,49.47975570678711,-0.2776081442270262
2021-10-14,52.724449157714844,52.91153695086964,52.01862029735592,52.47783402019207,18594500,50.33314228057861,49.50763824462891,1.5228354061141758
2021-10-15,53.2261848449707,53.63437376170321,53.09862438924304,53.34523954018471,16092600,50.64906387329101,49.5518473815918,0.9516186423399464
2021-10-18,53.2006721496582,53.69389918991298,52.9540570075323,53.651380120856075,18282800,51.026214027404784,49.59010494232178,-0.047932601945466224
2021-10-19,54.000038146972656,54.093582039180134,53.29420931958667,53.46428882869146,18933200,51.445458221435544,49.63953941345215,1.502548680335769
2021-10-20,54.29768371582031,54.314691993906074,53.33674033395472,53.4813058316877,14305200,51.812828636169435,49.69354202270508,0.5511951084878008
2021-10-21,53.31122589111328,54.119101252083816,53.022091653839524,53.9745357554456,16564600,52.051364517211915,49.72017185211182,-1.816758574582833
2021-10-22,53.67689895629883,53.761940351152056,53.022094813917796,53.37926218430632,14266800,52.286498832702634,49.746437339782716,0.6859213215851145
2021-10-25,54.72288513183594,54.782412487701684,54.06808421731272,54.18713892904422,17939800,52.50122356414795,49.781152153015135,1.9486710221257475
2021-10-26,55.989959716796875,56.07500434041043,54.73137973844024,54.84192866594645,25585100,52.75294017791748,49.82627586364746,2.31543819721558
2021-10-27,54.53578567504883,55.488229653826764,54.408228472817484,55.4116972788861,21764500,52.9336483001709,49.86020877838135,-2.597205015155235
2021-10-28,54.68885803222656,54.824924241119874,54.11059286441484,54.27216662148019,16626400,53.16708145141602,49.886625099182126,0.28068240932626054
2021-10-29,54.824928283691406,55.58177878448426,54.705873586128114,55.31815859530759,23966300,53.31760139465332,49.91004596710205,0.24880799556037392
2021-11-01,55.81137466430664,56.19405598586998,55.29263363071603,55.335155940220915,19656400,53.483852767944335,49.94249355316162,1.7992661577428182
2021-11-02,55.122562408447266,55.65830852202608,54.98650268398028,55.30114444630687,16300000,53.619916152954104,49.97291175842285,-1.2341789823354654
2021-11-03,54.36571502685547,54.8079172664444,54.13610814630127,54.459258931229094,17372800,53.76618404388428,49.99659923553467,-1.3730264859309504
2021-11-04,54.773902893066406,55.1820885455193,54.28067261569136,55.00350651157191,17720100,53.92563323974609,50.005436210632325,0.7508185370307396
2021-11-05,55.292640686035156,55.55626736021571,54.901460043051166,55.318157967790185,18565100,54.04638938903808,50.021387329101564,0.9470528218182173
2021-11-08,55.88792037963867,56.44917730359054,55.5987829131225,55.74335489037774,17696000,54.22327156066895,50.060966987609866,1.0765984156619668
2021-11-09,56.43217086791992,56.4406766282516,55.53925418492352,55.930434816257005,18781300,54.44097213745117,50.11930881500244,0.9738249063200755
2021-11-10,55.3204231262207,56.57868397752147,54.95845573931854,56.29428079584163,20177200,54.610313987731935,50.148187255859376,-1.9700602060857775
2021-11-11,55.4238395690918,55.87199124793238,55.173910089582286,55.320425008734915,13319300,54.74528350830078,50.16804733276367,0.1869408023780661
2021-11-12,55.00154495239258,55.475550244148536,54.794709268348086,55.122199649350854,18158900,54.834051513671874,50.179747123718265,-0.7619367766334206
2021-11-15,55.475555419921875,55.820279400428895,54.48445753799305,54.949839514309446,18849200,54.947795677185056,50.19400901794434,0.8618130053248185
2021-11-16,56.035736083984375,56.33737943459929,55.44969610236093,55.44969610236093,17028700,55.049580574035645,50.21269985198975,1.0097792799409033
2021-11-17,55.4238395690918,56.22533528779878,55.31180493697577,55.48416692102939,15497000,55.10588836669922,50.23909404754639,-1.0919755100129103
2021-11-18,54.820560455322266,55.613436021357785,54.38964896397415,55.29456572588021,16948200,55.18135509490967,50.26272258758545,-1.0884830759829933
2021-11-19,52.28680419921875,53.45888410313193,52.062731647044345,53.338229399069235,32035500,55.111850357055665,50.25715995788574,-4.621908705527522
2021-11-22,53.0107307434082,53.898410659928714,51.985162567390034,51.985162567390034,21994400,55.026242637634276,50.257328758239744,1.3845301032956892
2021-11-23,54.406883239746094,54.6223389752095,53.36407498153205,53.596767570343765,21185900,54.94708881378174,50.272212982177734,2.633716752737847
2021-11-24,54.708526611328125,55.027400218088516,53.93288784183577,53.93288784183577,15869700,54.955725860595706,50.305192527771,0.5544213408675391
2021-11-26,52.786659240722656,52.9331675740396,51.31294268604501,52.15752883938531,24979600,54.86061592102051,50.32699546813965,-3.5129210922809295
2021-11-29,53.079681396484375,54.41550645678859,52.82113514087614,53.924267584854746,18946400,54.773353576660156,50.353990364074704,0.5551064605650691
2021-11-30,51.57149887084961,52.73495884087392,51.41637043650043,52.105828318277595,34979800,54.5613597869873,50.35677249908447,-2.8413556486317937
2021-12-01,51.528404235839844,53.458886149944625,51.49393052261798,52.48502840838389,30630600,54.381651878356934,50.359626350402834,-0.08356289026558716
2021-12-02,52.8125114440918,53.07106096954601,50.968210783068606,51.48530654638325,29216000,54.30399169921875,50.3777505493164,2.4920376000287847
2021-12-03,52.476409912109375,53.63125303896685,52.01102463242181,53.36408668486598,22014700,54.1891170501709,50.403822860717774,-0.6364051297545692
2021-12-06,53.07106399536133,53.57091964537796,52.93316915387374,53.191718694069,19210500,54.07803821563721,50.440700454711916,1.133183623361278
2021-12-07,53.66572570800781,54.3207098281639,53.51921406906592,53.72605306298557,19800400,53.966928482055664,50.49717948913574,1.1205008301669928
2021-12-08,53.82084655761719,54.45859373123355,53.72604550239463,53.958738104960766,18214400,53.836362266540526,50.571712760925294,0.2890501294129155
2021-12-09,53.95874786376953,54.096639436051746,53.269290002358474,53.47612571698458,16910300,53.76827850341797,50.64251495361328,0.25622284852899746
