Date,Close,High,Low,Open,Volume,MA20,MA100,Daily_Return
2021-10-10,24.692825317382812,24.960135480836406,24.49234192363739,24.89330871112824,7603692,23.875854969024658,23.410061779022218,-0.5383511732472313
2021-10-11,24.692825317382812,24.692825317382812,24.692825317382812,24.692825317382812,0,23.94268274307251,23.422455501556396,0.0
2021-10-12,24.859895706176758,25.026964951648477,24.625998145592146,24.726240618261492,12257349,24.014522647857667,23.435846347808837,0.6765948677259548
2021-10-13,24.72623634338379,24.859891408191658,24.692822191604257,24.826477256412122,5614566,24.083020973205567,23.44790060043335,-0.5376505371249785
2021-10-14,24.92672348022461,24.96013609474527,24.692825924717027,24.726240081548184,8139997,24.154860973358154,23.462621383666992,0.8108275519839392
2021-10-17,24.993547439575195,25.09378835648015,24.859892369598487,24.893306522670244,9458962,24.23004217147827,23.47801040649414,0.2680816008714615
2021-10-18,24.993547439575195,24.993547439575195,24.893306522670244,24.993547439575195,5025859,24.31023540496826,23.49339942932129,0.0
2021-10-19,25.026962280273438,25.127204742242913,24.92672136061432,24.99354812628361,6158680,24.392099380493164,23.509784278869628,0.1336938695038148
2021-10-20,24.893301010131836,25.026956050511085,24.793060115424893,24.960127759166472,6344638,24.470621585845947,23.524501667022705,-0.5340690917449264
2021-10-21,25.026962280273438,25.127204742242913,24.893307206624495,24.92672136061432,7918069,24.55415620803833,23.54121732711792,0.5369367047270979
2021-10-24,24.993547439575195,25.09378835648015,24.993547439575195,25.026961592646956,6353941,24.631008052825926,23.55792957305908,-0.13351536764244498
2021-10-25,25.026962280273438,25.06037643426326,24.92672136061432,24.92672136061432,8926540,24.709530639648438,23.574645233154296,0.1336938695038148
2021-10-26,24.993547439575195,25.060375745718712,24.926720675742,24.993547439575195,9525993,24.744615077972412,23.59102674484253,-0.13351536764244498
2021-10-27,25.194032669067383,25.394516059935956,24.960135122668976,24.960135122668976,14718003,24.801418781280518,23.60875144958496,0.8021479542945409
2021-10-28,25.227447509765625,25.260861666202977,25.026964113451996,25.12720658276405,10090928,24.859893226623534,23.626810302734373,0.132629980825838
